plataforma,id_plataforma
PS3,1
PS4,2
PS2,3
X360,4
XOne,5
PC,6
PSP,7
Wii,8
PS,9
DS,10
2600,11
GBA,12
NES,13
XB,14
PSN,15
GEN,16
PSV,17
DC,18
N64,19
SAT,20
SNES,21
GBC,22
GC,23
NS,24
3DS,25
GB,26
WiiU,27
WS,28
VC,29
NG,30
WW,31
SCD,32
PCE,33
XBL,34
3DO,35
GG,36
OSX,37
Mob,38
PCFX,39
Series,40
All,41
iOS,42
5200,43
And,44
DSiW,45
Lynx,46
Linux,47
MS,48
ZXS,49
ACPC,50
Amig,51
7800,52
DSi,53
AJ,54
WinP,55
iQue,56
GIZ,57
VB,58
Ouya,59
NGage,60
AST,61
MSD,62
S32X,63
XS,64
PS5,65
Int,66
CV,67
Arc,68
C64,69
FDS,70
MSX,71
OR,72
C128,73
CDi,74
CD32,75
BRW,76
FMT,77
ApII,78
Aco,79
BBCM,80
TG16,81
